gender,age,Investment_Avenues,Mutual_Funds,Equity_Market,Government_Bonds,Fixed_Deposits,PPF,Gold,Stock_Marktet,Expect,Avenue,Reason_Equity,Reason_Mutual,Reason_Bonds,Reason_FD,Source
Male,26,Yes,3,4,5,1,2,7,Yes,20%-30%,Mutual Fund,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Financial Consultants
Male,31,Yes,2,3,6,4,1,5,Yes,20%-30%,Fixed Deposits,Capital Appreciation,Fund Diversification,Safe Investment,Fixed Returns,Television
Male,29,Yes,2,3,5,1,4,7,Yes,20%-30%,Equity,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Television
Female,34,Yes,5,4,2,7,1,6,Yes,10%-20%,Mutual Fund,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Newspapers and Magazines
Male,27,Yes,4,5,2,7,3,6,No,10%-20%,Mutual Fund,Capital Appreciation,Tax Benefits,Safe Investment,Fixed Returns,Television
Female,31,Yes,2,4,6,3,1,5,Yes,20%-30%,Fixed Deposits,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,27,Yes,2,4,5,1,3,6,Yes,30%-40%,Equity,Capital Appreciation,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,26,Yes,2,3,4,1,5,7,Yes,20%-30%,Fixed Deposits,Dividend,Better Returns,Safe Investment,Risk Free,Newspapers and Magazines
Male,27,Yes,2,3,5,4,1,7,Yes,20%-30%,Mutual Fund,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,30,Yes,1,4,5,3,2,7,Yes,20%-30%,Fixed Deposits,Capital Appreciation,Better Returns,Assured Returns,Fixed Returns,Financial Consultants
Male,30,Yes,2,4,5,1,3,6,Yes,20%-30%,Equity,Capital Appreciation,Better Returns,Assured Returns,Risk Free,Newspapers and Magazines
Male,25,Yes,5,4,6,1,2,3,Yes,30%-40%,Public Provident Fund,Capital Appreciation,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
Male,31,Yes,2,4,5,3,1,6,Yes,20%-30%,Equity,Dividend,Fund Diversification,Assured Returns,Fixed Returns,Newspapers and Magazines
Male,29,Yes,4,3,7,2,1,6,Yes,20%-30%,Fixed Deposits,Dividend,Better Returns,Safe Investment,Fixed Returns,Financial Consultants
